rank,feature,mean_abs_shap
1,ner_money,280.1099548339844
2,tfidf_rate,10.637093544006348
3,tfidf_pin,9.313847541809082
4,tfidf_refund,9.257944107055664
5,tfidf_disposable,8.674951553344727
6,tfidf_virtual,6.456271171569824
7,tfidf_identity,5.950267791748047
8,tfidf_change,5.472446918487549
9,has_money_symbol,5.318667888641357
10,tfidf_declined,5.295955181121826
