rank,feature,mean_abs_shap
1,monetary_signal,19.62842559814453
2,n_digits,17.80034637451172
3,std_tfidf_fee,12.44194507598877
4,has_money_symbol,11.464359283447266
5,tfidf_rate,10.734562873840332
6,tfidf_disposable,9.556839942932129
7,tfidf_pin,9.210260391235352
8,tfidf_refund,9.02340316772461
9,tfidf_virtual,6.4131317138671875
10,tfidf_identity,6.156027793884277
